,count,cat,subcat,subsubcat,combined_cats,combined_cats_lower,processed_comps,sentiment_scores
71,13331,Department of Sanitation,Illegal Dumping - Past,Report of improper disposal of one cubic yard or more of trash on public property which needs to be cleaned up.,Department of Sanitation Illegal Dumping - Past Report of improper disposal of one cubic yard or more of trash on public property which needs to be cleaned up.,department of sanitation illegal dumping - past report of improper disposal of one cubic yard or more of trash on public property which needs to be cleaned up.,department sanitation waste illegal dumping waste past report improper disposal one cubic yard trash public property building needs cleaned,"{'neg': 0.434, 'neu': 0.566, 'pos': 0.0, 'compound': -0.8885}"
72,13241,Department of Finance,Parking Ticket Payment Problem or Penalty Adjustment,Help with a parking ticket payment problem.,Department of Finance Parking Ticket Payment Problem or Penalty Adjustment Help with a parking ticket payment problem.,department of finance parking ticket payment problem or penalty adjustment help with a parking ticket payment problem.,department finance parking vehicles ticket payment problem penalty adjustment help parking vehicles ticket payment problem,"{'neg': 0.38, 'neu': 0.498, 'pos': 0.122, 'compound': -0.6908}"
73,13177,3-1-1 Call Center,Language Assistance,Connect to Language Line.,3-1-1 Call Center Language Assistance Connect to Language Line.,3-1-1 call center language assistance connect to language line.,call center language assistance connect language line,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
74,12886,,Fire Hydrant Complaint,Report a problem with a fire hydrant., Fire Hydrant Complaint Report a problem with a fire hydrant., fire hydrant complaint report a problem with a fire hydrant.,fire hydrant complaint report problem fire hydrant,"{'neg': 0.764, 'neu': 0.236, 'pos': 0.0, 'compound': -0.8271}"
75,12693,Department of Health and Mental Hygiene,Status of a Birth Certificate Order,Request the status of a birth certificate order.,Department of Health and Mental Hygiene Status of a Birth Certificate Order Request the status of a birth certificate order.,department of health and mental hygiene status of a birth certificate order request the status of a birth certificate order.,department health mental hygiene status birth certificate order request status birth certificate order,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
76,12620,,Homeless Shelter Complaint,Make a complaint or comment about a homeless shelter., Homeless Shelter Complaint Make a complaint or comment about a homeless shelter., homeless shelter complaint make a complaint or comment about a homeless shelter.,homeless shelter complaint make complaint comment homeless shelter,"{'neg': 0.423, 'neu': 0.577, 'pos': 0.0, 'compound': -0.5267}"
77,12451,New York City Police Department,Noise from Street or Sidewalk,"Report noise from the street or sidewalk, including traffic.","New York City Police Department Noise from Street or Sidewalk Report noise from the street or sidewalk, including traffic.","new york city police department noise from street or sidewalk report noise from the street or sidewalk, including traffic.","new york city police department noise street sidewalk report noise street sidewalk, including traffic","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
78,12427,,NYCHA Public Housing Maintenance Complaint,"Report a maintenance problem in a New York City Housing Authority apartment, building, or public space."," NYCHA Public Housing Maintenance Complaint Report a maintenance problem in a New York City Housing Authority apartment, building, or public space."," nycha public housing maintenance complaint report a maintenance problem in a new york city housing authority apartment, building, or public space.","nycha public housing maintenance complaint report maintenance problem new york city housing authority apartment, building, public space","{'neg': 0.243, 'neu': 0.693, 'pos': 0.064, 'compound': -0.5574}"
79,12166,New York City Police Department,"Find a Towed Vehicle - Accident, Filming, Street Event, or Construction","Location of a vehicle that was moved due to accident, filming, parade, street event, or construction.","New York City Police Department Find a Towed Vehicle - Accident, Filming, Street Event, or Construction Location of a vehicle that was moved due to accident, filming, parade, street event, or construction.","new york city police department find a towed vehicle - accident, filming, street event, or construction location of a vehicle that was moved due to accident, filming, parade, street event, or construction.","new york city police department find towed vehicle accident, filming, street event, construction location vehicle moved due accident, filming, parade, street event, construction","{'neg': 0.228, 'neu': 0.772, 'pos': 0.0, 'compound': -0.7351}"
80,12038,,Rent Freeze Program Renewal,Renew the Senior Citizen Rent Increase Exemption (SCRIE) or Disability Rent Increase Exemption (DRIE)., Rent Freeze Program Renewal Renew the Senior Citizen Rent Increase Exemption (SCRIE) or Disability Rent Increase Exemption (DRIE)., rent freeze program renewal renew the senior citizen rent increase exemption (scrie) or disability rent increase exemption (drie).,rent freeze program renewal renew senior citizen rent increase exemption scrie disability rent increase exemption drie,"{'neg': 0.0, 'neu': 0.691, 'pos': 0.309, 'compound': 0.5859}"
81,11563,Department of Transportation,Traffic or Pedestrian Signal Condition,Report a traffic or pedestrian signal condition.,Department of Transportation Traffic or Pedestrian Signal Condition Report a traffic or pedestrian signal condition.,department of transportation traffic or pedestrian signal condition report a traffic or pedestrian signal condition.,department transit transportation traffic pedestrian signal condition report traffic pedestrian signal condition,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
82,11546,,Injured or Sick Animal,Get help for an injured or sick animal., Injured or Sick Animal Get help for an injured or sick animal., injured or sick animal get help for an injured or sick animal.,injured sick animal get help injured sick animal,"{'neg': 0.678, 'neu': 0.169, 'pos': 0.153, 'compound': -0.8519}"
83,11376,,Recycling Rules,"Learn about materials that must be recycled and how to place them out for collection. Get signs, stickers and flyers that promote recycling."," Recycling Rules Learn about materials that must be recycled and how to place them out for collection. Get signs, stickers and flyers that promote recycling."," recycling rules learn about materials that must be recycled and how to place them out for collection. get signs, stickers and flyers that promote recycling.","recycling rules learn materials must recycled place collection get signs, stickers flyers promote recycling","{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.3818}"
84,11265,Department of Correction,Inmate Location and Information,"Information on an inmate's location, ID numbers, charges, court date, bail, mailing address, and release date.","Department of Correction Inmate Location and Information Information on an inmate's location, ID numbers, charges, court date, bail, mailing address, and release date.","department of correction inmate location and information information on an inmate's location, id numbers, charges, court date, bail, mailing address, and release date.","department correction inmate location information information inmates location, id numbers, charges, court date, bail, mailing address, release date","{'neg': 0.11, 'neu': 0.89, 'pos': 0.0, 'compound': -0.2732}"
